KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
6712,HOLMEN MAT OG DRIKKE,HOLMEN 9,6101.0,VOLDA,HOLMEN 9
2829,JORDBÆRSTOVA,URIKAMBEN 55,6210.0,VALLDAL,VALLDALSVEGEN 476
6715,VESTLANDSKE BURGERKOMPANI,HOLEVEGEN 25,6783.0,STRYN,TONNINGSGATA 18
907,FISKÅ BRYGGE GJESTGIVERI,REITEBAKKVEGEN 15,6143.0,FISKÅ,REITEBAKKVEGEN 15
9245,VEST RESTAURANT,LANGELANDSVEIEN 1,6010.0,ÅLESUND,LANGELANDSVEIEN 1
8258,AALESUND PROTECTIVE WEAR AS,NØRVEVIKA 62,6008.0,ÅLESUND,NØRVEVIKA 62
8017,WESTRES BAKERI RYSTELANDET,WESTRES BAKERI RYSTELANDET,6150.0,ØRSTA,INDUSTRIVEGEN 12
8353,4341 APOTEKERGATA 5,APOTEKERGATA 5,6004.0,ÅLESUND,APOTEKERGT. 5
9246,HOFSETH PROCESSING,FJORDGATA 52,6005.0,ÅLESUND,FJORDGATA 52
6460,DREGES HOTEL,ALLMENINGEN 16,6200.0,STRANDA,ALLMENNINGEN16
9266,POTETPATRULJEN,MYRLANDSVEIEN 36B,6020.0,ÅLESUND,MYRLANDSVEIEN 36B
8260,FACILITEC BRATTVÅG,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,ÅRSUNDVEGEN 24
9248,THE GREEDY BOX,NØRVEGATA 41,6008.0,ÅLESUND,ØVREGATA 2
3539,KHALIFA GATEKJØKKEN,BAKKEGATA 14,6056.0,ULSTEINVIK,BJØRNDALSVEGEN 3B V/BM KONTOR
8032,NOR F. OPTIMAR,POSTVEGEN 15 OPTIMAR,6018.0,ÅLESUND,VALDERØYVEGEN 1129
7888,NARCI CAFE OG PIZZERIA,EIDSGATA 45,6770.0,NORDFJORDEID,EIDSGATA 45
3066,BUNNPRIS VOLDA,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,HALKJELSGATE 4
9249,TAI SHAN RESTAURANT,HATLASKARET 1,6016.0,ÅLESUND,HATLASKARET 1
1183,HAVILA POLLUX,POSTBOKS 215,6099.0,FOSNAVÅG,"SKANSEKAIA 2, HURTIGRUTETERM."
