KUNDNR,KUNDENAVN,GATEADRESSE1,POSTNR,POSTSTED,LEVERINGSADRESSE2
213,1996  HOTEL ALEXANDRA,,6789.0,LOEN,
355,KIWI 827 ØRSTA,7080000022502,3412.0,LIERSTANDA,HÅKONSGATA 16
410,AURSNES HOTELL,,6230.0,SYKKYLVEN,ØRSNESET
500,STORFJORD KULTURHUS,BOKS 128,6201.0,STRANDA,POSTBOKS 128
643,JOKER HJELLEDALEN,7080000034826,901.0,OSLO,
645,JUVET LANDSKAPSHOTELL,KLAUS NILSENS GATE 10,6003.0,ÅLESUND,GUDBRANDSJUVET
772,BRATTVÅG BARNEHAGE,FJELLBU 2,6270.0,BRATTVÅG,FJELLBU 2
774,O.L. BREKKE KAFE CATERING,PERHUSVEGEN 9,6783.0,STRYN,PERHUSVEGEN 9
785,BRATTVÅG BOWLING AS,STORGATA 15,6270.0,BRATTVÅG,STORGATA 15
796,JOKER FIKSDAL,7080000546121,901.0,OSLO,
880,SPAR FISKÅBYGD,7080000028542,901.0,OSLO,
890,CENTRUMSKIOSKEN,SJØGATA 13,6065.0,ULSTEINVIK,SJØGATA 13
1047,CHRISTIAN GAARD BYGDETUN AS,,6183.0,TRANDAL,
1048,DIDRIKS KAFE & GAVER,EIDSGATA 38,6770.0,NORDFJORDEID,EIDSGATA 38
1126,JOKER LOEN,7080000017836,901.0,OSLO,
1134,HAKALLEGARDEN,HAKALLESTRANDA,6149.0,ÅRAM,HAKALLESTRANDA
1615,FJORDANE FOLKEHØGSKULE,POSTBOKS 130,6771.0,NORDFJORDEID,POSTBOKS 130
1640,VOLDA OMSORGSSENTER 410401,FAKTURAMOTTAK,6102.0,VOLDA,BARSTADMARKA 2
1715,JOKER VIKANE,7080000032136,901.0,OSLO,
1845,SPAR FOSNAVÅG,7080001181963,901.0,OSLO,MYKLEBUSTVN.42
1890,JOKER TOMREFJORD,7080000878932,901.0,OSLO,
1910,HOTEL GEIRANGER,,6216.0,GEIRANGER,GEIRANGERVEGEN 22
1911,GEIRANGER OMSORGSSENTER,STRANDA KOMMUNE,6200.0,STRANDA,MARÅKVEGEN 36
2060,GOKSØYR CAMPING,GOKSØYRVEGEN 51,6096.0,RUNDE,GOKSØYRVEGEN 51
2212,VOLDA VIDAREGÅANDE SKULE/KANTI,FAKTURAMOTTAK-ØK.SEKSJON,6404.0,MOLDE,VEVENDELVEGEN 35
2497,HJELLE HOTEL AS,HJELLE,6798.0,HJELLEDALEN,
2565,SUNNMØRSBADET FOSNAVÅG,LISJEBØVEIEN  10 B,6090.0,FOSNAVÅG,LISJEBØVEIEN 10 B
2567,HERØY VGS KANTINE,FAKTURAMOTTAK FYLKESHUSET,6404.0,MOLDE,
2571,HERØY VGS UNDERVISNINGSKJØKKEN,FAKTURAMOTTAK FYLKESHUSET,6404.0,MOLDE,LISJEBØVEGEN 4
2620,HJØRUNDFJORDHEIMEN,FAKTURASENTER RÅDHUSET,6150.0,ØRSTA,ØYRAGATA 20
2700,INNVIK FJORDHOTELL,,6793.0,INNVIK,
2812,NYNORSK KULTURSENTRUM,INDREHOVDEVEIEN 176,6160.0,HOVDEBYGDA,INDREHOVDEVEIEN 176
2819,ISEHAUG KAFETERIA,BOKS 138,6781.0,STRYN,PERHUSVEGEN 20
2826,STIFT JOST.BREEN NASJ.P.SENTER,,6799.0,OPPSTRYN,
2908,KIWI 908 KLOKKERSUND,7080001135478,3412.0,LIERSTANDA,NEDRE KLOKKERSUNDVEGEN 2
2914,KIWI 903 MÅLØY,7080001098315,3412.0,LIERSTANDA,SELSTADGÅRDEN
2920,KIWI 905 EGGESBØNES,7080001099909,3412.0,LIERSTANDA,
2927,KIWI 906 DEKNEPOLLEN,7080001099947,3412.0,LIERSTANDA,BOKS 1024
2928,KIWI 914 ULSTEINVIK,7080001199340,3412.0,LIERSTANDA,SAUNESVEGEN 2
2931,KIWI 901 NØRVE,7080001099930,3214.0,LIERSTANDA,NØRVEGATA 23
2932,KIWI 902 SPJELKAVIK,7080001099961,3412.0,LIERSTANDA,SPJELKAVIKVEGEN 42
2935,KIWI 844 SYKKYLVEN,7080000067282,3412.0,LIERSTANDA,
2936,KIWI 843 VOLDA,7080001181901,3412.0,LIERSTANDA,VIKEBYGDVEGEN 4
2939,KIWI 909 FLISNES,7080001138028,3412.0,LIERSTANDA,FLISNESVEIEN 1
2942,KIWI 910 KVERVE,7080001148645,3412.0,LIERSTANDA,
2946,KIWI 911 FISKARSTRAND,7080001152215,3412.0,LIERSTANDA,
2948,KIWI 912 STRANDA,7080001176433,3412.0,LIERSTANDA,ØYNA 10
2950,KIWI 913 STRYN,7080001190668,3412.0,LIERSTANDA,WALHALLAVEGEN 2
2953,KIWI 915 VALDERØY,7080001203931,3412.0,LIERSTANDA,
2955,KIWI 916 KREMMERGAARDEN,7080001208721,3412.0,LIERSTANDA,RASMUS RØNNEBERGSGT 6
2957,KIWI 917 MYRVÅG,,6080.0,GURSKØY,
2960,CAFE NOVA,BOKS 238,6067.0,ULSTEINVIK,POSTBOKS 238
3070,BUNNPRIS BRATTVÅG,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,STRANDG 40
3075,BUNNPRIS VATNE,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,POSTBOKS 7
3076,BUNNPRIS SPJELKAVIK,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,KANALVEGEN 18
3077,BUNNPRIS ULSTEINVIK,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,SAUNESV.10
3080,BUNNPRIS VALDERØY,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,ØYSENTERET
3086,BUNNPRIS OLDEN,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,
3092,BUNNPRIS STAD,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,
3095,BUNNPRIS HAREID,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,
3096,BUNNPRIS EID,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,
3097,BUNNPRIS STRYN,ROGNHAUGEN 13,6783.0,STRYN,
3148,JOKER ÅRAM,,6149.0,ÅRAM,HAKALLESTRANDA 443
3210,JOKER LEPSØY,7080000007387,901.0,OSLO,
3295,LANTERNEN AS,,6070.0,TJØRVÅG,
3318,2057 HOTEL LOENFJORD,,6789.0,LOEN,
3338,REMMEMSVIK KIOSK & GATEKJØKKEN,,6390.0,VESTNES,
3425,LØSETHS O.A.J. EFTF. AS,SJØVEGEN 129,6230.0,SYKKYLVEN,SJØVEGEN 129
3615,JOKER GODØY,7080001100599,901.0,OSLO,
3735,MENY FOSNAVÅG,7080000008896,3412.0,LIERSTANDA,
3756,MOTORHUSET,POSTBOKS 110,6201.0,STRANDA,POSTBOKS 110
3770,MURITUNET AS,GRANDEGATA 58,6210.0,VALLDAL,
3880,MØRE FOLKEHØGSKULE,POSTBOKS 14,6151.0,ØRSTA,POSTBOKS 14
3984,NAUSTET GRILL,HAVNEGATA,6100.0,VOLDA,HAVNEGATA
4070,JOKER LARSNES,7080001175641,901.0,OSLO,
4110,EUROSPAR ØRSTA,7080001090708,901.0,OSLO,FJORDTORGET
4220,SPAR ELLINGSØY,7080000396399,901.0,OSLO,
4225,SPAR ÅSE,7080000071357,901.0,OSLO,POSTBOKS 3010
5102,CHINA HOUSE,POSTBOKS 357,6065.0,ULSTEINVIK,SJØGATA 45
5191,OLE RINGDAL AS,,6218.0,HELLESYLT,
5280,JOKER HELLESYLT 708000993239,7080000993239,901.0,OSLO,PER GYNT GATA
5540,SPAR VOLDA,7080001235253,901.0,OSLO,KÅRSTADVEIEN 24
6011,JOKER UTVIK,7080000459810,901.0,OSLO,
6017,SJØHOLT CATERING AS,POSTBOKS 104,6249.0,ØRSKOG,POSTBOKS 104
6170,JOKER SÆBØ,,6165.0,SÆBØ,
6320,SPAR TRESFJORD,7080000602322,901.0,OSLO,
6340,BUNNPRIS STRAUMGJERDE,SYKKYLVSV 1038,6220.0,STRAUMGJERDE,SYKKYLVSV 1038
6343,BUNNPRIS BRYGGJA,MAURSTAD,6711.0,BRYGGJA,MAURSTAD
6360,EUROSPAR HAREID,7080000025220,901.0,OSLO,KJØPMANNSGATA 13
6437,2752 STORFJORD HOTEL,SKANSEKAIA,6002.0,ÅLESUND,
6545,STRANDA OMSORGSSENTER,STRANDA KOMMUNE,6200.0,STRANDA,NYMARKVEGEN 34
6548,STRANDA OMSORGSS.AVD SOLBAKKEN,STRANDA KOMMUNE,6200.0,STRANDA,MOVEGEN 71
6600,SPAR STRAUMANE,7080001137793,901.0,OSLO,
6645,STRYN HOTEL AS,VISNESVEIEN 1,6783.0,STRYN,VISNESVEIEN 1
6654,STORDAL AUTO,,6250.0,STORDAL,STORDALSVEGEN 531
6659,ROKKEN STUDENTHUSET,POSTBOKS 278,6101.0,VOLDA,INDUSTRIGATA 12
6700,SUNNMØRE FOLKEHØGSKULE,VARLEITEVEIEN 5,6065.0,ULSTEINVIK,VARLEITEVEIEN 5
6730,SUNNYLVEN OMSORGSENTER,STRANDA KOMMUNE,6200.0,STRANDA,
6731,KANTINA BERTE KANUTTE HUSET,POSTBOKS 278,6101.0,VOLDA,JOPLASSVEGEN 11
6764,STRYN BENSINSTASJON ESSO,POSTBOKS 203,6781.0,STRYN,POSTBOKS 203
6769,SMAK KAFE & CATERING,POSTBOKS 227,6781.0,STRYN,TONNINGSGATA 12
6780,SPAR SVINGEN,RINGSTADVEIEN 67,6200.0,STRANDA,RINGSTADVEIEN 67
6853,SYKKYLVEN BU OG AKTIVITETSS.,FAKTURAMOTTAK RÅDHUSET,6230.0,SYKKYLVEN,HAUGNESET 16
7010,SPAR SØVIK,7080001183028,901.0,OSLO,
7020,SPAR SØVIK REKVISITA,,6280.0,SØVIK,
7255,0431 H UNION GEIRANGER MAT,GEIRANGERVEGEN 100,6216.0,GEIRANGER,GEIRANGERVEGEN 100
7261,0431 H.UNION GEIRANGER BAR 2,GEIRANGERVEGEN 100,6216.0,GEIRANGER,GEIRANGERVEGEN 100
7272,UNGDOMSKLUBBEN BELL UK 250200,"POSTBOKS 143, REF 250200",6067.0,ULSTEINVIK,SKOLLEBAKKEN 6
7288,URKE LANDHANDEL,URKE,6196.0,NORANGSFJORDEN,URKE
7311,ULSTEIN SJUKEHEIM 304101,REF 304101 ULSTEIN KOMMUNE,6065.0,ULSTEINVIK,
7355,VALLDAL SJUKEHEIM,SERVICETORGET,6211.0,VALLDAL,
7363,GISKE KOMMUNE KANTINA RÅDHUSET,RÅDHUSET V/ØKON.SEKSJONEN,6050.0,VALDERØY,RÅDHUSET
7380,VALLDAL BILSENTER,VALLDAL,6210.0,VALLDAL,VALLDAL
7381,VALAKER AVD. MOA SYD,MOA SYD,6280.0,SØVIK,LANGELANDSVEIEN 42
7382,VALAKER AVD. MOA NORD,MOA NORD,6280.0,SØVIK,MOAVEIEN 1
7383,VALAKER BLÅHUSET ULSTEINVIK,AVD BLÅHUSET ULSTEINVIK,6280.0,SØVIK,VIKEMYRA 1
7384,VALAKER AVD. FOSNAVÅG,AVD FOSNAVÅG,6280.0,SØVIK,
7385,VALAKER AVD. RÅDHUSET ÅLESUND,AVD ÅLESUND RÅDHUS,6280.0,SØVIK,KEISER WILHELMSGT. 11
7387,VALAKER AVD. VESTNES,VESTNES BRYGGE,6280.0,SØVIK,VESTNES BRYGGE
7388,VALAKER HOVEDKONTOR/KONDITORI,VALAKER HOVEDKONTOR,6280.0,SØVIK,
7390,EUROSPAR VALDERØY,7080000014033,901.0,OSLO,
7435,VANYLVEN OMSORGSENTER 50401,VA3080,6143.0,FISKÅBYGD,
7445,VARTDAL HELSETUN 31096,FAKTURASENTER RÅDHUSET,6150.0,ØRSTA,VARTDALSSTRANDA 1225
7450,SPAR VARTDAL,7080001188733,901.0,OSLO,
7497,JOKER STADLANDET,,6750.0,STADLANDET,
7578,VIGRA SERVICENTER,NØRESTRANDA 43,6040.0,VIGRA,NØRESTRANDA 43
7585,GISKE OMSORGSSENTER,GISKE KOMMUNEKASSE,6050.0,VALDERØY,
7615,HAVILA HOTELL IVAR AASEN,POSTBOKS 113,6151.0,ØRSTA,PARKVEGEN 9
7642,KIWI 830 SKJELLEBREIDA VOLDA,7080000014361,3412.0,LIERSTANDA,RØYSBAKKEN 3
7645,VIK BILVERKSTED,,6140.0,SYVDE,SYVDEFJORDSVEGEN 542
7740,EUROSPAR SYKKYLVEN,7080000014385,901.0,OSLO,HAUGNESET 26
7755,JOKER STORDAL,7080000014392,901.0,OSLO,
7864,VOLDA TURISTHOTELL AS,POSTBOKS 197,6101.0,VOLDA,SKJERVAVEGEN 11
8025,YONG HONG RESTAURANT,HOLMSILDGATA 16,6090.0,FOSNAVÅG,SENTRUMSGÅRDEN
8030,PERS CAFE,SJØATUNET,6788.0,OLDEN,SJØATUNET
8054,ØRSTA CAMPING AS,OSHOLANE 2,6155.0,ØRSTA,OSHOLANE 2
8130,ØRSTAHEIMEN  FELLESKJ 31266,FAKTURASENTER RÅDHUSET,6150.0,ØRSTA,HÅKONSGATE 78
8183,ØRSTA VGS REST.&MATFAG,FAKT.MOTTAK ØK.SEKSJONEN,6404.0,MOLDE,ANDERS HOVDENS GT. 9
8280,ÅLESUND FOTBALL AS,SJØMANNSVEIEN 14,6008.0,ÅLESUND,"INNGANG 3, 4ETG, TLF.45200166"
8285,ÅLESUND FENGSEL 3390KARSANDN,DFØ FAKTURAMOTTAK,2308.0,HAMAR,KIPERVIKGATA 16
8288,ATLANTERHAVSPARKEN ÅLESUND,"BOKS 2090, SKARBØVIK",6028.0,ÅLESUND,"POSTBOKS 2090, SKARBØVIK"
8298,SPJELKAVIK VGS ELEVKANTINE,FAKTURAMOTTAK,6404.0,MOLDE,LANGHAUGEN 22
8326,EKORNES AS,FAKTURAMOTTAK,6222.0,IKORNNES,BRUNHOLMGT. 8
8331,BROKIOSKEN,LORKENESTORGET,6002.0,ÅLESUND,LORKENESTORGET
8342,BORGUND VGS KANTINE,"FAKT.MOTTAK-ØK.,FYLKESHUSET",6404.0,MOLDE,YRKESSKOLEVEGEN 20
8343,XL DINER,POSTBOKS 46,6001.0,ÅLESUND,SKAREGATA 1B
8348,ÅLESUND FOLKEHØGSKOLE,LØYPEVEGEN 1,6012.0,ÅLESUND,HATLEHOLEN
8352,BRUSDALSHEIMEN,BRUSDALSVEGEN 670,6260.0,SKODJE,BRUSDALSVEGEN 670
8399,ANDREAS FAUSA EFTF.,POSTBOKS 38,6039.0,LANGEVÅG,
8401,FAGERLIA VGS KANTINE,ØKONOMISEKSJON. FYLKESHUSET,6404.0,MOLDE,GANGSTØVIKVN. 27
8436,TINGSTAD AS KANTINE,POSTBOKS 1504,6025.0,ÅLESUND,BREIVIKA IND.VEG 4
8437,GRIMMERGATA 5 AS KANTINE,POSTBOKS 1313 SENTRUM,6001.0,ÅLESUND,POSTBOKS 1313 SENTRUM
8443,SELECTA NORWAY AVD ÅLESUND,POSTBOKS 90 ALNABRU,614.0,OSLO,SOLAVÅGSVEGEN 1A
8466,BAMA STORKJØKKEN AVD ÅLESUND,C/O BAMA GRUPPEN,614.0,OSLO,
8483,ORRENESET MISJONSSENTER,P.B.25,6238.0,STRAUMGJERDE,POSTBOKS 25
8486,SPK HERD,POSTBOKS 7631,6022.0,ÅLESUND,POSTBOKS 7631
8576,JOHNNY KIOSK SKATEFLUA,SKAREGATA 1C,6002.0,ÅLESUND,SKAREGATA 1C
8620,MENY LERSTAD,7080001098698,901.0,OSLO,LERSTADVEIEN 291
8625,Å576 LAGER,POSTBOKS 60,9251.0,TROMSØ,SJØMANNSVEIEN 19
8643,LANGEVÅG I.L. HÅNDBALL,,6030.0,LANGEVÅG,REMANE 78
8649,LONG CHENG RESTAURANT AS,STRANDGATEN 61,4370.0,EGERSUND,KONGENSGT. 25
8660,MOA LET'S EAT,POSTBOKS 6731,609.0,OSLO,MOAVEIEN 1
8675,STUEN AS,SKANSEKAIA,6002.0,ÅLESUND,TOLLBUGATA1
8697,SPAR SPJELKAVIK,7080000009046,901.0,OSLO,SPJELKAVIK SENTRUM
8786,MF HJØRUNDFJORD 100004,POSTBOKS 354,6902.0,FLORØ,HJØRUNGAVÅGVEGEN 137
8801,2743 62 NORD,SKANSEKAIA,6002.0,ÅLESUND,APOTEKERGATA 9A
8825,SULATUNET,"AVD. REGNSKAP,FINANS",6039.0,LANGEVÅG,STADSNESVEIEN 23
8874,FRIMURERLOGENE I ÅLESUND,BOKS 241,6001.0,ÅLESUND,GISKEGATA 12
8882,QUALITY HOTEL WATERFRONT,SNR 15831209,510.0,OSLO,
8890,RAGNHILD'S CATERING,STADSNESVEIEN 11,6030.0,LANGEVÅG,STADSNESVEIEN 11
8892,BRØDR REMØ AS,C/O AZETS INSIGHT AS,7439.0,TRONDHEIM,
8989,AARFLOT HAVNEVIK AS,KIRKEGT. 3,6004.0,ÅLESUND,KIRKEGT. 3
8997,SPAREBANKEN MØRE KANTINE,INNKJØPSAVD,6001.0,ÅLESUND,PARKGATA 2
9006,SKARBØVIK TANKANLEGG AS,STEINVÅGNESET,6006.0,ÅLESUND,STEINVÅGNESET
9010,"NORSK SCANIA AS,AVD.6470 ÅLE",POSTBOKS 143 SKØYEN,212.0,OSLO,DIGERNES VEST
9013,MEET & EAT,BOKS 8194 SPJELKAVIK,6022.0,ÅLESUND,AMFI MOA ØST
9018,EUROSPAR BLINDHEIM,7080000884582,901.0,OSLO,POSTBOKS 9004
9037,EUROSPAR ÅLESUND STORSENTER,7080000620753,901.0,OSLO,ÅLESUND STORSENTER
9045,KIWI 832 SUNDGATA,7080001078119,3412.0,LIERSTANDA,SUNDGATA 8
9050,STIFTINGA VITI AVD SM CAFÈ,MUSEUMSVEGEN 12,6015.0,ÅLESUND,"MUSEUMSVEIEN 12, BORGUNDGAVLEN"
9077,TAJMAHAL,KONGENSGATE 32,6002.0,ÅLESUND,KONGENSGATE 32
9085,SUNDE FJORD HOTEL AS,SUNDEVEGEN,6037.0,EIDSNES,SUNDE
9090,"TINE SA, KANTINE",REF. MOLLEN,7436.0,TRONDHEIM,KLAUS NILSENSGT. 14
9093,KIWI 849 SKARBØVIK,7080000891092,3412.0,LIERSTANDA,SKARBØVIKGT. 25
9099,UNGDOM I OPPDRAG  ÅLESUND,ÅSEMULEN 5,6018.0,ÅLESUND,PARKGATA 14
9131,TRANKOKERIET ANTIKK,MOLOVEGEN 16B,6004.0,ÅLESUND,MOLOVEIEN 16 B
9142,ANNO,KONGENSGATE 11,6002.0,ÅLESUND,APOTEKERGATA 9B
9210,ÅLESUND FOTBALL,SJØMANNSVEIEN 14,6008.0,ÅLESUND,SJØMANNSVEIEN 14
9930,JOH.JOHANNSON KAFFE AS,POSTBOKS 130,102.0,OSLO,
9977,"0262 ØYE, HOTEL UNION",SKANSEKAIA,6002.0,ÅLESUND,
10096,NORENGROS ØDEGAARD ENGROS,OLEVÅGVEGEN 18,6013.0,ÅLESUND,OLEVÅGVEGEN 18
11074,HATLØY CATERING,POSTBOKS 90,6067.0,ULSTEINVIK,POSTBOKS 90
11083,HATLØY CATERING AS - BÅTORDRER,POSTBOKS 90,6067.0,ULSTEINVIK,
11085,HATLØY CATERING AS AVD. EXPO,POSTBOKS 90,6067.0,ULSTEINVIK,
12001,H I GIØRTZ KANTINE,,6037.0,EIDSNES,
12002,VEDLIKEHOLD H.I.G.,FAKTURA LEVERES MERETE,6037.0,EIDSNES,
12005,GAVER,,6037.0,EIDSNES,
12007,TRANSPORT HIG,,6037.0,EIDSNES,TRANSPORTKONTOR
12008,LAGER TØRR/KJØL/FRYS,,6037.0,EIDSNES,
12010,FRUKT/GRØNTAVDELING,,6037.0,EIDSNES,
13017,JETS VACUUM,MYRAVEGEN 1,6060.0,HAREID,MYRAVEGEN 1
13046,PEPPES PIZZA AMFI MOA AVD.319,MOAVEGEN 1,6018.0,ÅLESUND,MOAVEGEN 1
13054,MADELYNN COFFEE,GERHARD VOLDNES VEG 11,6090.0,FOSNAVÅG,GERHARD VOLDNES VEG 11
13110,JOKER FLATRAKET,7080001079444,901.0,OSLO,
13115,OLDEIDE MATSENTER STORHUSH.,HOLVIK,6700.0,MÅLØY,HOLVIK
13116,BUNNPRIS OLDEIDE,HOLVIK,6700.0,MÅLØY,HOLVIK
13123,VESTNES SENTRALKJØKKEN,"FAKT.MOTTAK, MOLDE KOMMUNE",6413.0,MOLDE,MISFJORDVEGEN 2
13124,QUALITY HOTEL ULSTEIN,SNR 15831019,510.0,OSLO,SJØGATA 10
13169,EGON ÅLESUND,LØVENVOLDGT. 8,6002.0,ÅLESUND,LØVENVOLDGT. 8
13181,ISS 422565 HARAMSENTERET,POSTBOKS 2  ØKERN,508.0,OSLO,BERNT HILDREVEG 2
13202,ÅLESUND VGS VOLSDALSBERGA,FAKTURAMOTTAK-ØK.SEKSJON,6404.0,MOLDE,SJØMANNSVEIEN 47
13219,KAFFEBAREN ULSTEINVIK,POSTBOKS 443,6067.0,ULSTEINVIK,SJØGATA 55
13220,VALAKER AVD. ÅLESUND STORSENTE,ÅLESUND STORSENTER,6280.0,SØVIK,GRIMMERGATA 1
13247,ISS 471135 HARAM VGS KANTINE,POSTBOKS 2  ØKERN,508.0,OSLO,SKULERÅSA 10
41300,UNIL AS 7080000082421,POSTBOKS 290 SKØYEN,102.0,OSLO,
41417,BAXT AS,HEGDALRINGEN 27,3261.0,LARVIK,HENT
44521,ORKLA FOODS NORGE AS,POSTBOKS 25 SENTRUM,101.0,OSLO,
46180,HENNIG-OLSEN IS VAREPRØVER,POSTBOKS 432,4664.0,KRISTIANSAND S,
53002,JOH-SALG AS SERVERING,POSTBOKS 130,102.0,OSLO,POSTBOKS 130 SENTRUM
2958,KIWI 841 SKODJE,7080001263881,3412.0,LIERSTANDA,KORSVEGEN
13097,BRASSERIE POSTEN GEIRANGER,,6216.0,GEIRANGER,
7392,BRAUD ULSTEINVIK,AVD AMFI ULSTEINVIK,6280.0,SØVIK,SAUNESVEG 2-4
8848,SULATUNET AVD.SLOGHAUGVEIEN,"AVD. REGNSKAP,FINANS",6039.0,LANGEVÅG,SLOGHAUGVEIEN 28
13258,LARSNES MEK VERKSTED AS,,6084.0,LARSNES,
7070,TOTLANDS BOKHANDEL,POSTBOKS 104,6771.0,NORDFJORDEID,EIDSGATA 37
8939,FACILITEC CATERING NMK AVD 120,INDUSTRIVEIEN 8B,1461.0,LØRENSKOG,BORGUNDVEGEN 340
615,5311 SAGAFJORD HOTEL,NOTENESGATA 9,6002.0,ÅLESUND,ØYRAGATA 8
8900,EUROSPAR MOA,7080003431554,901.0,OSLO,LANGELANDSVEIEN 25
6599,STRANDA BOOKING,STRANDVEIEN 88,6200.0,STRANDA,STRANDVEIEN 17
3093,BUNNPRIS ØRSTA,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,VIKEØYRANE 4
8527,"BORGUND VGS, REST.OG MATFAG",FAKT.MOTTAK - ØK.FYLKESHUSET,6404.0,MOLDE,YRKESSKOLEVEGEN 20
2170,SPAR HORNINDAL,7080001285746,901.0,OSLO,
12009,MILJØSTASJONEN HIG,,6037.0,EIDSNES,
8479,SPISESTUA KAFE OG RESTAURANT,MOAVEIEN 1,6018.0,ÅLESUND,MOAVEIEN 1
2388,HAREID PIZZA OG PUB,POSTBOKS 11,6069.0,HAREID,STRANDGATA 117
7319,ÅLESUND ASIA SHOP,KIRKEGATA 2,6004.0,ÅLESUND,KIRKEGATA 2
3999,NORDFJORD KJØTT AS KANTINE,LOVIKVEGEN 32,6789.0,LOEN,
700,COCA COLA EUR PART.NORGE AS,ACCOUNT PAYABLE,1471.0,LØRENSKOG,
4002,NORDFJORD HOTELL,SANDPLASSEN 1,6770.0,NORDFJORDEID,KONTAKT R.SJON V/LÅST MOTTAK
1835,HF NORDFJORD SJUKEHUS,7300010810,6807.0,FØRDE,LEVERES V KJØKKENINNGANG
5195,RAFTEVOLDS HOTEL,,6763.0,HORNINDAL,
7053,THAI MIX,KRIKVEGEN 64,6280.0,SØVIK,VATNEVEGEN 11
6456,STRANDA BAKERI,SJØGATA 2,6200.0,STRANDA,SJØGATA 2
9055,SPAR EIDSNES,7080001294427,901.0,OSLO,SOLEVÅGSEIDET 76
2618,HORNINDAL SKISENTER,V/RASMUS SÆTREN,6763.0,HORNINDAL,
9165,CCD DRIKKE ARB.PLASS ÅLESUND,POSTBOKS 463,1471.0,LØRENSKOG,VEGSUND
9166,KVOTEBRUS ÅLESUND,POSTBOKS 463,1471.0,LØRENSKOG,VEGSUND
9167,KVOTEBRUS STRAND ØYSTEIN,POSTBOKS 463,1471.0,LØRENSKOG,
6821,SYKKYLVEN KINO,FAKTURAMOTTAK RÅDHUSET,6230.0,SYKKYLVEN,"KYRKJEVEGEN 2,KULTURHUSET"
8320,"BILTEMA  AVD 218, ÅLESUND",INDUSTRIVEGEN 17 C,2069.0,JESSHEIM,SMIBAKKEN 2
8334,BILTEMA ULSTEINVIK AVD.296,INDUSTRIVEGEN 17,2069.0,JESSHEIM,BRENDEHAUGEN 3
8349,MILK BAR,POSTBOKS 46,6001.0,ÅLESUND,SKAREGATA 1B
575,BJØRGS MAT AS,VEDVIK,6710.0,RAUDEBERG,MARITIM PARK NEDREVEGEN 106
5904,SJØKANTEN CAFE,SJØGATA 21,6770.0,NORDFJORDEID,SJØGATA 21
6433,STABBURET SVE KANTINE ST-SOH,POSTBOKS 1418,1602.0,FREDRIKSTAD,SVEMORKA IND.OMRÅDE
2959,KIWI 918 LANGEVÅG,7080003528971,3412.0,LIERSTANDA,DJUPDALEN
8026,WESTRES KOND. AVD VOLDA,RYSTELANDET,6150.0,ØRSTA,HAVNEKVARTALET 27
8027,WESTRES KOND. AVD SUNN OG GOD,RYSTELANDET,6150.0,ØRSTA,AMFISENTERET
8028,WESTRES KOND. AVD ØRSTA AMFI,RYSTELANDET,6150.0,ØRSTA,AMFISENTERET
9125,ÅLESUND BEH.SENTER AVD 6711,FAKTURAMOTTAK,6405.0,MOLDE,VESTMOA 27
582,BAKERIET KAFFEBAR,MÅLØY STORMARKED,6718.0,DEKNEPOLLEN,MÅLØY STORMARKED
6856,SYKKYLVEN BARNE & FAM.TENESTE,FAKTURAMOTTAK RÅDHUSET,6230.0,SYKKYLVEN,"HAUGNESET 20, UNDERETG."
13266,GEIRANGERFJORDEN VERDSARV,GJØRVAHAUGANE 35,6216.0,GEIRANGER,GJØRVAHAUGANE 35
1574,FJELLSTOVA ØRSKOG KH AS,POSTBOKS 59,6249.0,ØRSKOG,POSTBOKS 59
899,ISS 422542 NORDEA ÅLESUND,POSTBOKS 132 ØKERN,509.0,OSLO,NOTENESGT. 2
1982,ÅLESUND GOLFKLUBB,POSTBOKS 8182,6022.0,ÅLESUND,SOLNØR GÅRD
272,VOLSDALEN CAMPING,POSTBOKS 143,6001.0,ÅLESUND,SJØMANNSVEIEN
5181,REKKEDAL GJESTEGARD,V/MARGRETHE REKKEDAL,6165.0,SÆBØ,BONDALSVEGEN 394
7018,JOKER VATNE,7080001324414,901.0,OSLO,SENTRUM
902,CHINA RESTAURANT EID,POSTBOKS 127,6770.0,NORDFJORDEID,ALMENNINGEN 1
7582,5410 VISNES HOTEL STRYN AS,GLØSHAMMAREN 5,6783.0,STRYN,PRESTESTEGEN 1
8531,ISS 422547 TUSSA HOVDEBYGDA,POSTBOKS 2 ØKERN,508.0,OSLO,LANGMYRA 6
8131,HUSAFJELLHEIMEN REF.3600SYSTO,FAKTURAMOTTAK DFØ,7468.0,TRONDHEIM,HUSAFJELLET 6
3081,BUNNPRIS VEDDE,C/O I K LYKKE DRIFT AS,7005.0,TRONDHEIM,VEDDEVEGEN 163
